job_id,title,company,location,work_mode,min_experience,required_skills,preferred_skills,description
J001,Junior Data Scientist,HealthAI Labs,"Kansas City, MO",Hybrid,1,"[""python"", ""sql"", ""pandas"", ""machine learning""]","[""healthcare"", ""scikit-learn"", ""git""]","Build predictive models and analytics pipelines for healthcare data using Python, SQL, pandas, and machine learning."
J002,Data Analyst,Metro Analytics,"Kansas City, MO",On-site,1,"[""sql"", ""excel"", ""data visualization""]","[""python"", ""tableau""]","Analyze business data, create SQL reports, dashboards, and visualizations, and communicate findings to stakeholders."
J003,Machine Learning Engineer,VectorWorks AI,Remote,Remote,3,"[""python"", ""pytorch"", ""docker"", ""machine learning""]","[""aws"", ""mlops"", ""git""]","Develop production machine learning systems, model training pipelines, APIs, containers, and cloud deployments."
J004,Research Data Scientist,BioDiscovery Institute,"St. Louis, MO",Hybrid,2,"[""python"", ""statistics"", ""machine learning""]","[""healthcare"", ""nlp"", ""pandas""]",Apply statistical learning and AI methods to biomedical research datasets and collaborate with domain scientists.
J005,Business Intelligence Analyst,Civic Data Group,Remote,Remote,2,"[""sql"", ""power bi"", ""data visualization""]","[""python"", ""data modeling""]","Build dashboards, semantic models, SQL transformations, and KPI reporting for distributed business teams."
J006,AI Software Intern,Agentic Systems,Remote,Remote,0,"[""python"", ""git""]","[""llm"", ""hugging face"", ""agents""]","Prototype AI applications using Python, open-source models, GitHub workflows, and agentic development tools."
J007,Senior Data Scientist,FinModel,"Chicago, IL",Hybrid,5,"[""python"", ""sql"", ""statistics"", ""machine learning""]","[""llmops"", ""aws"", ""leadership""]","Lead modeling projects, mentor data scientists, and lead data and GenAI projects, mentor teammates, and evaluate production AI systems."
J008,Healthcare Data Analyst,CareMetrics,Remote,Remote,1,"[""sql"", ""python"", ""data visualization""]","[""healthcare"", ""pandas""]","Analyze healthcare quality data with SQL and Python, prepare visual reports, and support clinical analytics teams."
J009,Data Engineering Associate,CloudPipe,"Kansas City, MO",Hybrid,2,"[""python"", ""sql"", ""etl""]","[""vector databases"", ""aws"", ""git""]","Build data pipelines, vector indexes, retrieval services, and reproducible AI application workflows."
J010,NLP Research Assistant,University AI Lab,"Kansas City, MO",On-site,0,"[""python"", ""machine learning""]","[""nlp"", ""hugging face"", ""research""]","Support experiments in natural language processing, machine learning, Hugging Face models, and research evaluation."
